State,Sector,GDP
Michigan,Paper manufacturing,$1139
Michigan,Food and beverage and tobacco product manufacturing,$5406
Michigan,Fabricated metal product manufacturing,$6268
Michigan,Other transportation equipment manufacturing,$627
Michigan,Plastics and rubber products manufacturing,$3017
Michigan,Computer and electronic product manufacturing,$1337
Michigan,Machinery manufacturing,$6008
Michigan,Wood product manufacturing,$505
Michigan,Furniture and related product manufacturing,$2810
Michigan,Nonmetallic mineral product manufacturing,$1209
Michigan,Textile mills and textile product mills,$214
Michigan,"Electrical equipment, appliance, and component manufacturing",$1784
Michigan,Miscellaneous manufacturing,$2392
Michigan,Apparel and leather and allied product manufacturing,$136
Michigan,Printing and related support activities,$842
Minnesota,"Motor vehicle, body, trailer, and parts manufacturing",$516
Minnesota,Petroleum and coal products manufacturing,$4324
Minnesota,Chemical manufacturing,$2215
Minnesota,Primary metal manufacturing,$433
Minnesota,Paper manufacturing,$1767
Minnesota,Food and beverage and tobacco product manufacturing,$4243
Minnesota,Fabricated metal product manufacturing,$3601
Minnesota,Other transportation equipment manufacturing,$1133
Minnesota,Plastics and rubber products manufacturing,$1253
Minnesota,Computer and electronic product manufacturing,$6455
Minnesota,Machinery manufacturing,$3031
Minnesota,Wood product manufacturing,$938
Minnesota,Furniture and related product manufacturing,$610
Minnesota,Nonmetallic mineral product manufacturing,$668
Minnesota,Textile mills and textile product mills,$171
Minnesota,"Electrical equipment, appliance, and component manufacturing",$1133
Minnesota,Miscellaneous manufacturing,$3425
Minnesota,Apparel and leather and allied product manufacturing,$99
Minnesota,Printing and related support activities,$1600
Mississippi,"Motor vehicle, body, trailer, and parts manufacturing",$788
Mississippi,Petroleum and coal products manufacturing,$2399
Mississippi,Chemical manufacturing,$1374
Mississippi,Primary metal manufacturing,$570
Mississippi,Paper manufacturing,$659
Mississippi,Food and beverage and tobacco product manufacturing,$1229
Mississippi,Fabricated metal product manufacturing,$724
Mississippi,Other transportation equipment manufacturing,$763
Mississippi,Plastics and rubber products manufacturing,$906
Mississippi,Computer and electronic product manufacturing,$335
Mississippi,Machinery manufacturing,$1164
Mississippi,Wood product manufacturing,$645
Mississippi,Furniture and related product manufacturing,$924
Mississippi,Nonmetallic mineral product manufacturing,$239
Mississippi,Textile mills and textile product mills,$173
Mississippi,"Electrical equipment, appliance, and component manufacturing",$654
Mississippi,Miscellaneous manufacturing,$364
Mississippi,Apparel and leather and allied product manufacturing,$100
Mississippi,Printing and related support activities,$148
Missouri,"Motor vehicle, body, trailer, and parts manufacturing",$2691
Missouri,Petroleum and coal products manufacturing,$386
Missouri,Chemical manufacturing,$4056
Missouri,Primary metal manufacturing,$730
Missouri,Paper manufacturing,$1542
Missouri,Food and beverage and tobacco product manufacturing,$6446
Missouri,Fabricated metal product manufacturing,$2363
Missouri,Other transportation equipment manufacturing,$1690
Missouri,Plastics and rubber products manufacturing,$1453
Missouri,Computer and electronic product manufacturing,$1026
Missouri,Machinery manufacturing,$2323
Missouri,Wood product manufacturing,$413
Missouri,Furniture and related product manufacturing,$361
Missouri,Nonmetallic mineral product manufacturing,$611
Missouri,Textile mills and textile product mills,$146
Missouri,"Electrical equipment, appliance, and component manufacturing",$1624
Missouri,Miscellaneous manufacturing,$706
Missouri,Apparel and leather and allied product manufacturing,$167
Missouri,Printing and related support activities,$964
Montana,"Motor vehicle, body, trailer, and parts manufacturing",$18
Montana,Petroleum and coal products manufacturing,$1621
Montana,Chemical manufacturing,$113
Montana,Primary metal manufacturing,$6
Montana,Paper manufacturing,$6
Montana,Food and beverage and tobacco product manufacturing,$210
Montana,Fabricated metal product manufacturing,$119
Montana,Other transportation equipment manufacturing,$22
Montana,Plastics and rubber products manufacturing,$25
Montana,Computer and electronic product manufacturing,$63
Montana,Machinery manufacturing,$92
Montana,Wood product manufacturing,$195
Montana,Furniture and related product manufacturing,$28
Montana,Nonmetallic mineral product manufacturing,$64
Montana,Textile mills and textile product mills,$8
Montana,"Electrical equipment, appliance, and component manufacturing",$11
Montana,Miscellaneous manufacturing,$98
Montana,Apparel and leather and allied product manufacturing,$8
Montana,Printing and related support activities,$37
Nebraska,"Motor vehicle, body, trailer, and parts manufacturing",$441
Nebraska,Petroleum and coal products manufacturing,$7
Nebraska,Chemical manufacturing,$2298
Nebraska,Primary metal manufacturing,$149
Nebraska,Paper manufacturing,$155
Nebraska,Food and beverage and tobacco product manufacturing,$3142
Nebraska,Fabricated metal product manufacturing,$643
Nebraska,Other transportation equipment manufacturing,$160
Nebraska,Plastics and rubber products manufacturing,$416
Nebraska,Computer and electronic product manufacturing,$359
Nebraska,Machinery manufacturing,$1773
Nebraska,Wood product manufacturing,$81
Nebraska,Furniture and related product manufacturing,$165
Nebraska,Nonmetallic mineral product manufacturing,$156
Nebraska,Textile mills and textile product mills,$46
Nebraska,"Electrical equipment, appliance, and component manufacturing",$145
Nebraska,Miscellaneous manufacturing,$1331
Nebraska,Apparel and leather and allied product manufacturing,$31
Nebraska,Printing and related support activities,$208
Nevada,"Motor vehicle, body, trailer, and parts manufacturing",$51
Nevada,Petroleum and coal products manufacturing,$48
Nevada,Chemical manufacturing,$245
Nevada,Primary metal manufacturing,$47
Nevada,Paper manufacturing,$73
Nevada,Food and beverage and tobacco product manufacturing,$491
Nevada,Fabricated metal product manufacturing,$378
Nevada,Other transportation equipment manufacturing,$82
Nevada,Plastics and rubber products manufacturing,$254
Nevada,Computer and electronic product manufacturing,$388
Nevada,Machinery manufacturing,$125
Nevada,Wood product manufacturing,$43
Nevada,Furniture and related product manufacturing,$80
Nevada,Nonmetallic mineral product manufacturing,$229
Nevada,Textile mills and textile product mills,$55
Nevada,"Electrical equipment, appliance, and component manufacturing",$65
Nevada,Miscellaneous manufacturing,$2156
Nevada,Apparel and leather and allied product manufacturing,$3
Nevada,Printing and related support activities,$171
New Hampshire,"Motor vehicle, body, trailer, and parts manufacturing",$33
New Hampshire,Petroleum and coal products manufacturing,$110
New Hampshire,Chemical manufacturing,$172
New Hampshire,Primary metal manufacturing,$170
New Hampshire,Paper manufacturing,$71
New Hampshire,Food and beverage and tobacco product manufacturing,$471
New Hampshire,Fabricated metal product manufacturing,$1022
New Hampshire,Other transportation equipment manufacturing,$93
New Hampshire,Plastics and rubber products manufacturing,$451
New Hampshire,Computer and electronic product manufacturing,$2433
New Hampshire,Machinery manufacturing,$724
New Hampshire,Wood product manufacturing,$109
New Hampshire,Furniture and related product manufacturing,$50
New Hampshire,Nonmetallic mineral product manufacturing,$189
New Hampshire,Textile mills and textile product mills,$137
New Hampshire,"Electrical equipment, appliance, and component manufacturing",$396
New Hampshire,Miscellaneous manufacturing,$585
New Hampshire,Apparel and leather and allied product manufacturing,$28
New Hampshire,Printing and related support activities,$133
New Jersey,"Motor vehicle, body, trailer, and parts manufacturing",$119
New Jersey,Petroleum and coal products manufacturing,$2516
New Jersey,Chemical manufacturing,$13940
New Jersey,Primary metal manufacturing,$459
New Jersey,Paper manufacturing,$1113
New Jersey,Food and beverage and tobacco product manufacturing,$3590
New Jersey,Fabricated metal product manufacturing,$1916
New Jersey,Other transportation equipment manufacturing,$207
New Jersey,Plastics and rubber products manufacturing,$1432
New Jersey,Computer and electronic product manufacturing,$3625
New Jersey,Machinery manufacturing,$1542
New Jersey,Wood product manufacturing,$129
New Jersey,Furniture and related product manufacturing,$398
New Jersey,Nonmetallic mineral product manufacturing,$802
New Jersey,Textile mills and textile product mills,$346
New Jersey,"Electrical equipment, appliance, and component manufacturing",$868
New Jersey,Miscellaneous manufacturing,$2785
New Jersey,Apparel and leather and allied product manufacturing,$256
New Jersey,Printing and related support activities,$1184
New Mexico,"Motor vehicle, body, trailer, and parts manufacturing",$66
New Mexico,Petroleum and coal products manufacturing,$83
New Mexico,Chemical manufacturing,$203
New Mexico,Primary metal manufacturing,$16
New Mexico,Paper manufacturing,$76
